Datum,MSCI Emerging Markets
05.2010,163720.00000000003
06.2010,162545.7
07.2010,176196.9
08.2010,172834.3
09.2010,192064.7
10.2010,197658.3
11.2010,192448.5
12.2010,206204.2
01.2011,200648.9
02.2011,198807.4
03.2011,210527.5
04.2011,217103.8
05.2011,211495.6
06.2011,208331
07.2011,207547.5
08.2011,189076.3
09.2011,161541.90000000002
10.2011,182955.3
11.2011,170771.9
12.2011,168730
01.2012,187901.1
02.2012,199191.1
03.2012,192564.2
04.2012,190316.4
05.2012,169072.19999999995
06.2012,175677
07.2012,179230.4
08.2012,178712.4
09.2012,189531.6
10.2012,188401.3
11.2012,190807.1
12.2012,200159.6
01.2013,202950.39999999997
02.2013,200429.8
03.2013,197021.1
04.2013,198583.3
05.2013,193582
06.2013,181350.3
07.2013,183343.2
08.2013,180266.40000000002
09.2013,192046.4
10.2013,201405.1
11.2013,198475.79999999996
12.2013,195622.4
01.2014,182963.10000000003
02.2014,189062.4
03.2014,194908.3
04.2014,195633.9
05.2014,202507
06.2014,207979
07.2014,212171.30000000005
08.2014,217037.5
09.2014,200995.1
10.2014,203388.3
11.2014,201249.2
12.2014,192069.3
01.2015,193236.3
02.2015,199242.8
03.2015,196449.4
04.2015,211608.59999999998
05.2015,203175.5
06.2015,198053.5
07.2015,184446.4
08.2015,167828
09.2015,162839.00000000003
10.2015,174466
11.2015,167672.3
12.2015,164029.6
01.2016,153397.49999999997
02.2016,153163.4
03.2016,173469.2
04.2016,174446.6
05.2016,167973.8
06.2016,174852.4
07.2016,183752.1
08.2016,188379.8
09.2016,190858.1
10.2016,191329.89999999997
11.2016,182534.5
12.2016,183063.8
01.2017,193090.8
02.2017,199016.5
03.2017,204090.2
04.2017,208600.5
05.2017,214811.2
06.2017,217119.5
07.2017,230236.2
08.2017,235457.70000000004
09.2017,234574.89999999997
10.2017,242812.9
11.2017,243313.60000000003
12.2017,252174.3
01.2018,273210.9
02.2018,260649.5
03.2018,255870.1
04.2018,254785.5
05.2018,245818.39999999997
06.2018,235768.6
07.2018,241155.6
08.2018,234705.69999999995
09.2018,233537.9
10.2018,213220.5
11.2018,222022.6
12.2018,216274.89999999997
01.2019,235228.00000000003
02.2019,235778.39999999997
03.2019,237803.1
04.2019,242854.2
05.2019,225309
06.2019,239553.69999999995
07.2019,236822.9
08.2019,225343.9
09.2019,229719.9
10.2019,239431
11.2019,239117.29999999996
12.2019,257114.2
01.2020,245138.9
02.2020,232225.9
03.2020,196516.2
04.2020,214550.10000000003
05.2020,216243.6
06.2020,232251.3
07.2020,253213.50000000003
08.2020,258873.3
09.2020,254781.5
10.2020,260070.00000000003
11.2020,284139.1
12.2020,305161.7
01.2021,314597.3
02.2021,317020.8
03.2021,312310.99999999994
04.2021,320129
05.2021,327627
06.2021,328302.3
07.2021,306400.4
08.2021,314516.9
09.2021,302128.3
10.2021,305152.6
11.2021,292741.7
12.2021,298376.60000000003
01.2022,292751.1
02.2022,284035.9
03.2022,277719.2
04.2022,262312.7
05.2022,263533.3
06.2022,246238.50000000003
07.2022,245839.9
08.2022,246958.4
09.2022,218129.7
10.2022,211385.9
11.2022,242770.7
12.2022,239489.8
01.2023,258423.00000000003
02.2023,241685.60000000003
03.2023,249109.6
04.2023,246333.9
05.2023,242267.6
06.2023,251696.30000000005
07.2023,267536.4
08.2023,251133.30000000005
09.2023,244389.1754515537
10.2023,235837.26172276464
11.2023,254000.84524751044
12.2023,263531.7003175502
01.2024,250625.45607184328
02.2024,263275.3014569227
03.2024,269961.7616585841
04.2024,271539.8285333912
05.2024,272323.8191586006
06.2024,282838.8769742966
07.2024,284195.60594916774
08.2024,289066.71021592646
09.2024,308847.97876514867
10.2024,294867.5248734786
11.2024,283607.12344094005
12.2024,284147.5482530473
01.2025,288209.502107152
02.2025,289981.57935988076
